Title,Author,Description,Genre,Themes,Mood
"To Kill a Mockingbird","Harper Lee","A novel about racial injustice in the American South seen through the eyes of a young girl during the Depression era.","Classic","justice,racism,morality","Reflective"
"The Catcher in the Rye","J.D. Salinger","A coming-of-age story about a disillusioned teenager wandering New York after being expelled from prep school.","Classic","identity,alienation,adolescence","Introspective"
"East of Eden","John Steinbeck","A multigenerational saga set in California's Salinas Valley exploring the nature of good and evil through two families.","Classic","family,free will,morality","Reflective"
"Of Mice and Men","John Steinbeck","Two displaced migrant workers in California dream of owning their own land during the Great Depression.","Classic","friendship,dreams,loneliness","Melancholic"
"Slaughterhouse-Five","Kurt Vonnegut","A war novel blending science fiction and satire following a soldier who becomes unstuck in time.","Classic","war,time,absurdity","Darkly Humorous"
"Cat's Cradle","Kurt Vonnegut","A satirical novel about the invention of a substance capable of freezing all water on Earth and the cult that forms around its creator.","Classic","religion,science,absurdity","Darkly Humorous"
"Crime and Punishment","Fyodor Dostoevsky","A psychological novel about a student who commits murder and is tormented by guilt until he seeks redemption.","Classic","guilt,morality,redemption","Intense"
"The Brothers Karamazov","Fyodor Dostoevsky","A philosophical novel about three brothers caught up in a murder mystery that explores faith, doubt, and free will.","Classic","faith,morality,family","Intense"
"The Great Gatsby","F. Scott Fitzgerald","A novel about the obsessive pursuit of the American Dream through the eyes of narrator Nick Carraway.","Classic","illusion,wealth,love","Melancholic"
"Moby-Dick","Herman Melville","A sailor narrates the voyage of the Pequod and Captain Ahab's obsessive hunt for the white whale.","Classic","obsession,fate,nature","Obsessive"
"The Count of Monte Cristo","Alexandre Dumas","A young sailor is wrongly imprisoned and escapes to take revenge on those who betrayed him using a hidden treasure.","Classic","revenge,justice,identity","Thrilling"
"Les Misérables","Victor Hugo","An epic novel following ex-convict Jean Valjean as he seeks redemption in post-Napoleonic France.","Classic","redemption,justice,poverty","Epic"
"Anna Karenina","Leo Tolstoy","A Russian aristocrat embarks on a passionate affair with catastrophic consequences in 19th century Russia.","Classic","love,society,tragedy","Intense"
"War and Peace","Leo Tolstoy","An epic novel following five aristocratic families through the Napoleonic Wars in early 19th century Russia.","Classic","war,society,history","Epic"
"Don Quixote","Miguel de Cervantes","A man reads so many chivalric romances that he loses his sanity and sets out to revive knighthood as a self-appointed hero.","Classic","idealism,reality,adventure","Humorous"
"One Hundred Years of Solitude","Gabriel García Márquez","Seven generations of the Buendía family in the fictional Colombian town of Macondo told in a sweeping magical realist style.","Classic","family,time,solitude","Mythic"
"Invisible Man","Ralph Ellison","An African American man recounts his experiences with racism and invisibility in mid-20th century America.","Classic","race,identity,invisibility","Intense"
"Beloved","Toni Morrison","A former enslaved woman is haunted by the ghost of her dead daughter in post-Civil War Ohio.","Classic","trauma,memory,motherhood","Haunting"
"The Old Man and the Sea","Ernest Hemingway","An aging Cuban fisherman struggles for days with a giant marlin far out in the sea.","Classic","perseverance,nature,aging","Reflective"
"A Farewell to Arms","Ernest Hemingway","An American ambulance driver falls in love with a nurse against the backdrop of World War I.","Classic","war,love,loss","Melancholic"

"Pride and Prejudice","Jane Austen","A romantic novel exploring love and social class through the relationship between Elizabeth Bennet and Mr. Darcy.","Romance","love,class,society","Witty"
"Sense and Sensibility","Jane Austen","Two sisters navigate love and heartbreak while balancing reason and emotion in Regency-era England.","Romance","love,society,reason","Witty"
"Jane Eyre","Charlotte Brontë","A governess falls in love with her brooding employer while uncovering dark secrets in his mansion.","Romance","independence,love,morality","Gothic"
"Wuthering Heights","Emily Brontë","A dark romance about obsessive love and revenge spanning two generations on the Yorkshire moors.","Romance","obsession,revenge,passion","Brooding"
"Outlander","Diana Gabaldon","A World War II nurse is transported back to 18th century Scotland and falls in love with a Highland warrior.","Romance","love,time,history","Passionate"
"Rebecca","Daphne du Maurier","A young woman marries a wealthy widower and is haunted by the memory of his first wife at his estate.","Romance","obsession,identity,secrets","Gothic"
"The Notebook","Nicholas Sparks","A young couple falls in love one summer in 1940s South Carolina and their story is retold decades later.","Romance","love,memory,devotion","Emotional"
"Me Before You","Jojo Moyes","A young woman becomes a caretaker for a paralyzed man and the two develop an unexpected bond.","Romance","love,disability,choices","Emotional"
"Normal People","Sally Rooney","Two Irish teenagers navigate their complicated on-and-off relationship from secondary school through college.","Romance","love,class,communication","Introspective"
"The Time Traveler's Wife","Audrey Niffenegger","A man with a genetic disorder that causes him to time travel involuntarily navigates life and love with his wife.","Romance","love,time,loss","Emotional"

"Gone Girl","Gillian Flynn","A psychological thriller about a marriage gone wrong when a wife disappears on her fifth anniversary and suspicion falls on her husband.","Thriller","deception,media,marriage","Unsettling"
"Sharp Objects","Gillian Flynn","A journalist returns to her hometown to cover the murder of two young girls and uncovers family secrets.","Thriller","trauma,family,secrets","Dark"
"Dark Places","Gillian Flynn","A woman who survived a massacre at her family farm as a child is drawn back into the case years later.","Thriller","trauma,memory,truth","Dark"
"The Girl with the Dragon Tattoo","Stieg Larsson","A disgraced journalist and a hacker investigate a decades-old disappearance within a wealthy Swedish family.","Thriller","investigation,corruption,justice","Dark"
"The Girl Who Played with Fire","Stieg Larsson","Lisbeth Salander becomes the prime suspect in a double murder while a journalist investigates a sex trafficking network.","Thriller","investigation,abuse,justice","Dark"
"The Da Vinci Code","Dan Brown","A Harvard symbologist races through Europe to unravel a conspiracy that threatens the foundations of Christianity.","Thriller","conspiracy,religion,secrets","Fast-Paced"
"Inferno","Dan Brown","Robert Langdon wakes in Florence with no memory and must decode clues tied to Dante's Inferno to prevent a biological catastrophe.","Thriller","conspiracy,history,science","Fast-Paced"
"The Silence of the Lambs","Thomas Harris","An FBI trainee enlists the help of incarcerated cannibal Hannibal Lecter to catch a serial killer.","Thriller","psychology,crime,manipulation","Terrifying"
"And Then There Were None","Agatha Christie","Ten strangers are lured to a remote island and begin dying one by one according to a nursery rhyme.","Thriller","mystery,justice,isolation","Suspenseful"
"Murder on the Orient Express","Agatha Christie","Hercule Poirot investigates the murder of a passenger aboard a snowbound train.","Thriller","mystery,justice,deception","Suspenseful"
"Big Little Lies","Liane Moriarty","Three women in a wealthy Australian suburb become entangled in a murder investigation tied to secrets in their lives.","Thriller","secrets,friendship,abuse","Unsettling"
"The Girl on the Train","Paula Hawkins","A troubled woman becomes obsessed with a couple she sees from her train window and gets drawn into a missing persons case.","Thriller","obsession,memory,deception","Unsettling"
"In the Woods","Tana French","A Dublin detective investigating a murder is haunted by his own traumatic childhood in the same woods.","Thriller","memory,trauma,investigation","Dark"
"The Seven Deaths of Evelyn Hardcastle","Stuart Turton","A man must solve the murder of Evelyn Hardcastle while reliving the same day in the bodies of eight different guests.","Thriller","mystery,identity,time","Clever"

"The Shining","Stephen King","A writer takes a job as winter caretaker of an isolated hotel where supernatural forces drive him to madness.","Horror","madness,isolation,fear","Terrifying"
"It","Stephen King","A group of childhood friends reunite to confront a shapeshifting entity preying on the children of their town.","Horror","fear,friendship,childhood","Terrifying"
"Pet Sematary","Stephen King","A family discovers an ancient burial ground near their home that can bring the dead back to life with horrifying consequences.","Horror","grief,death,consequences","Disturbing"
"Misery","Stephen King","A novelist is held captive by his obsessive fan after a car accident in a remote area.","Horror","obsession,captivity,survival","Tense"
"Dracula","Bram Stoker","A gothic horror novel following the journey of Jonathan Harker to Transylvania and his encounter with Count Dracula.","Horror","fear,desire,immortality","Gothic"
"Frankenstein","Mary Shelley","A scientist creates life from dead tissue and must confront the consequences of playing god.","Horror","creation,ethics,alienation","Somber"
"The Picture of Dorian Gray","Oscar Wilde","A vain young man sells his soul so that a portrait ages instead of him while he pursues a life of sin.","Horror","vanity,corruption,morality","Gothic"
"Interview with the Vampire","Anne Rice","A vampire tells his two-hundred-year life story to a journalist, exploring guilt and the nature of evil.","Horror","immortality,guilt,identity","Gothic"
"Mexican Gothic","Silvia Moreno-Garcia","A glamorous socialite investigates a mysterious Gothic mansion in 1950s Mexico where her cousin is trapped.","Horror","colonialism,identity,family","Gothic"
"House of Leaves","Mark Z. Danielewski","A family discovers their house is larger on the inside than the outside in this unconventionally formatted horror novel.","Horror","fear,reality,obsession","Disturbing"
"The Haunting of Hill House","Shirley Jackson","Four people investigate a notoriously haunted mansion and are slowly overwhelmed by its malevolent presence.","Horror","fear,isolation,madness","Eerie"

"The Alchemist","Paulo Coelho","A shepherd boy travels from Spain to Egypt in search of treasure and discovers the meaning of his destiny.","Philosophical Fiction","destiny,self-discovery,faith","Hopeful"
"Siddhartha","Hermann Hesse","A young man in ancient India embarks on a spiritual journey to find enlightenment separate from his traditional teachings.","Philosophical Fiction","spirituality,self-discovery,wisdom","Calm"
"Steppenwolf","Hermann Hesse","A middle-aged intellectual torn between his bourgeois life and wild nature descends into crisis and transformation.","Philosophical Fiction","identity,duality,freedom","Intense"
"The Stranger","Albert Camus","A man living in French Algeria kills another man seemingly without reason and faces the absurdity of his trial and existence.","Philosophical Fiction","absurdism,alienation,mortality","Cold"
"The Plague","Albert Camus","A deadly plague isolates the Algerian city of Oran and a doctor chronicles the human struggle against disease and despair.","Philosophical Fiction","mortality,solidarity,absurdism","Bleak"
"Nausea","Jean-Paul Sartre","A historian in a French port town becomes increasingly overwhelmed by the meaninglessness of existence.","Philosophical Fiction","existentialism,identity,freedom","Introspective"
"Notes from Underground","Fyodor Dostoevsky","A bitter recluse in 19th century St. Petersburg delivers a rambling monologue attacking rationalism and free will.","Philosophical Fiction","alienation,free will,society","Intense"
"Thus Spoke Zarathustra","Friedrich Nietzsche","A prophet descends from a mountain to share his philosophy of the Overman and the eternal recurrence with humanity.","Philosophy","power,morality,self-overcoming","Philosophical"
"Meditations","Marcus Aurelius","Personal journal entries of a Roman emperor offering Stoic reflections on virtue, duty, and the transience of life.","Philosophy","stoicism,virtue,self-control","Calm"
"The Republic","Plato","Plato's foundational dialogue on justice, the ideal state, and the philosopher king.","Philosophy","justice,society,knowledge","Intellectual"

"Sapiens","Yuval Noah Harari","A sweeping history of humankind from the Stone Age to the present examining how Homo sapiens came to dominate the planet.","Nonfiction","history,culture,evolution","Informative"
"Homo Deus","Yuval Noah Harari","A look at humanity's future as technology threatens to make humans obsolete and a new agenda emerges for the species.","Nonfiction","technology,future,humanity","Philosophical"
"A Brief History of Time","Stephen Hawking","A landmark work of popular science explaining cosmology, black holes, and the nature of time for general audiences.","Nonfiction","science,universe,time","Informative"
"The Selfish Gene","Richard Dawkins","A landmark work of evolutionary biology arguing that genes rather than organisms are the true unit of natural selection.","Nonfiction","evolution,biology,science","Intellectual"
"Educated","Tara Westover","A memoir about a woman who grows up in a survivalist family in rural Idaho and educates herself into Cambridge and Harvard.","Nonfiction","education,family,self-determination","Inspiring"
"The Glass Castle","Jeannette Walls","A memoir recounting a chaotic nomadic childhood with brilliant but deeply dysfunctional parents.","Nonfiction","family,poverty,resilience","Reflective"
"Into the Wild","Jon Krakauer","The story of Christopher McCandless who abandoned his possessions and hitchhiked to Alaska to live in the wilderness.","Nonfiction","adventure,freedom,nature","Reflective"
"Into Thin Air","Jon Krakauer","A firsthand account of the 1996 Mount Everest disaster in which eight climbers were killed during a single storm.","Nonfiction","survival,ambition,nature","Tense"
"The Immortal Life of Henrietta Lacks","Rebecca Skloot","The story of a Black woman whose cancer cells were taken without her knowledge and became one of the most important tools in medicine.","Nonfiction","race,science,ethics","Informative"
"Thinking, Fast and Slow","Daniel Kahneman","A Nobel laureate explains the two systems of thinking that drive our judgments and decisions.","Nonfiction","psychology,decision-making,behavior","Intellectual"
"Man's Search for Meaning","Viktor Frankl","A psychiatrist and Holocaust survivor describes life in Nazi concentration camps and his theory of finding meaning in suffering.","Nonfiction","survival,meaning,psychology","Inspiring"
"The Body Keeps the Score","Bessel van der Kolk","A groundbreaking exploration of how trauma reshapes the body and brain and the paths to recovery.","Nonfiction","trauma,psychology,healing","Informative"
"Quiet","Susan Cain","An examination of the power of introverts in a world that values extroversion.","Nonfiction","personality,society,introversion","Informative"
"Born a Crime","Trevor Noah","A memoir about growing up mixed-race in apartheid and post-apartheid South Africa with a rebellious mother.","Nonfiction","race,identity,resilience","Humorous"
"Bad Blood","John Carreyrou","The story of Theranos founder Elizabeth Holmes and the massive fraud at the heart of Silicon Valley's most celebrated startup.","Nonfiction","fraud,ambition,technology","Gripping"
"The Diary of a Young Girl","Anne Frank","The diary kept by a Jewish teenager hiding from the Nazis in occupied Amsterdam during World War II.","Nonfiction","war,hope,resilience","Emotional"

"The Kite Runner","Khaled Hosseini","A man haunted by his childhood betrayal of his best friend in Afghanistan seeks redemption decades later.","Literary Fiction","redemption,friendship,guilt","Emotional"
"A Thousand Splendid Suns","Khaled Hosseini","Two Afghan women from different generations are bound together by the brutality of war and their own resilience.","Literary Fiction","war,friendship,resilience","Emotional"
"The Road","Cormac McCarthy","A father and son journey through a desolate post-apocalyptic America, struggling to survive and hold onto hope.","Post-Apocalyptic","survival,parenthood,hope","Bleak"
"No Country for Old Men","Cormac McCarthy","A hunter stumbles upon a drug deal gone wrong in West Texas and is pursued by a relentless killer.","Literary Fiction","violence,fate,morality","Tense"
"Life of Pi","Yann Martel","A boy survives a shipwreck and spends months on a lifeboat with a Bengal tiger.","Literary Fiction","survival,faith,storytelling","Philosophical"
"The Shadow of the Wind","Carlos Ruiz Zafón","A boy in post-war Barcelona discovers a mysterious book and becomes obsessed with its forgotten author.","Literary Fiction","mystery,books,history","Atmospheric"
"The Remains of the Day","Kazuo Ishiguro","An aging English butler reflects on his years of service and the emotional sacrifices he made for duty.","Literary Fiction","regret,dignity,memory","Melancholic"
"When Breath Becomes Air","Paul Kalanithi","A neurosurgeon facing terminal cancer reflects on mortality and the meaning of a life well lived.","Nonfiction","mortality,medicine,meaning","Emotional"
"A Little Life","Hanya Yanagihara","Four friends navigate adulthood in New York while one of them struggles with the trauma of an abusive childhood.","Literary Fiction","trauma,friendship,survival","Devastating"
"The God of Small Things","Arundhati Roy","A pair of twins in Kerala India are torn apart by a tragedy rooted in the rigid caste rules of their society.","Literary Fiction","caste,family,tragedy","Melancholic"
"Pachinko","Min Jin Lee","A multigenerational saga of a Korean family living in Japan spanning much of the twentieth century.","Literary Fiction","identity,family,discrimination","Epic"
"All the Light We Cannot See","Anthony Doerr","A blind French girl and a German soldier's paths converge in occupied France during World War II.","Literary Fiction","war,fate,survival","Emotional"
"The Secret History","Donna Tartt","A group of classics students at a Vermont college are drawn into a murder by their charismatic professor.","Literary Fiction","morality,obsession,secrets","Dark"
"The Goldfinch","Donna Tartt","A boy survives a museum bombing that kills his mother and spends years haunted by a stolen painting.","Literary Fiction","grief,art,identity","Melancholic"
"Shuggie Bain","Douglas Stuart","A boy in 1980s Glasgow tries to care for his alcoholic mother while growing up gay in a working-class community.","Literary Fiction","family,addiction,identity","Devastating"
"Demon Copperhead","Barbara Kingsolver","A retelling of David Copperfield set in Appalachian Virginia following a boy caught in the opioid epidemic.","Literary Fiction","poverty,resilience,society","Tense"
"The Corrections","Jonathan Franzen","An aging Midwestern couple's three adult children return home for one last Christmas as their family falls apart.","Literary Fiction","family,aging,society","Reflective"
"The Brief Wondrous Life of Oscar Wao","Junot Díaz","A Dominican American nerd obsessed with science fiction grows up under the shadow of a family curse and the Trujillo dictatorship.","Literary Fiction","identity,family,history","Darkly Humorous"

"Harry Potter and the Sorcerer's Stone","J.K. Rowling","An orphaned boy discovers he is a wizard and begins his education at Hogwarts School of Witchcraft and Wizardry.","Fantasy","friendship,good vs evil,identity","Lighthearted"
"Harry Potter and the Prisoner of Azkaban","J.K. Rowling","Harry's third year at Hogwarts brings a dangerous escaped prisoner and revelations about his parents' past.","Fantasy","friendship,justice,loyalty","Lighthearted"
"Harry Potter and the Goblet of Fire","J.K. Rowling","Harry is mysteriously entered into a deadly magical tournament as the threat of Voldemort grows closer.","Fantasy","competition,friendship,evil","Tense"
"Percy Jackson and the Lightning Thief","Rick Riordan","A boy with ADHD discovers he is the son of a Greek god and sets out on a quest across modern America.","Fantasy","mythology,identity,adventure","Fun"
"The Lightning Thief","Rick Riordan","A twelve-year-old discovers he is a demigod and must prevent a war between the Greek gods.","Fantasy","mythology,friendship,adventure","Fun"
"Eragon","Christopher Paolini","A farm boy discovers a dragon egg and becomes a Dragon Rider destined to overthrow an evil king.","Fantasy","adventure,destiny,friendship","Epic"
"The Giver","Lois Lowry","In a seemingly perfect community a boy is chosen to receive memories of the past and discovers the dark truth of his society.","Dystopian","memory,conformity,freedom","Somber"
"His Dark Materials: The Golden Compass","Philip Pullman","A girl in an alternate world sets out to rescue kidnapped children and discovers a conspiracy involving mysterious particles.","Fantasy","adventure,identity,religion","Epic"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","C.S. Lewis","Four siblings discover a magical world through a wardrobe and join a battle between good and evil.","Fantasy","good vs evil,sacrifice,faith","Lighthearted"
"A Wrinkle in Time","Madeleine L'Engle","A girl travels through time and space with her brother to rescue her scientist father from an evil force.","Fantasy","love,good vs evil,individuality","Hopeful"
